,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
1759,1759,August 23,Get Down Tonight,KC and the Sunshine Band,1,August 30,4,2qVZpGu1v98tvUAutqyAfJ
1760,1760,August 23,At Seventeen,Janis Ian,3,September 13,6,7wJpqjqk8QbHpCakY1ZacY
1761,1761,August 30,Fight the Power (Part 1),The Isley Brothers,4,September 27,5,4Ahjqin4mNFeJSVSk6wNLs
1762,1762,September 6,Fame,David Bowie,1,September 20,6,1PehfITh0TTRx3LkDdV4h3
1763,1763,September 6,Could It Be Magic,Barry Manilow,6,September 20,4,6FDrn47S3Q4s9rhLHm4um0
1764,1764,September 13,I'm Sorry,John Denver,1,September 27,9,5opuphTIXgUUClEs5mnIQN
1765,1765,September 13,Run Joey Run,David Geddes,4,October 4,4,1g2nJvSNGFj145mRiT6usx
1766,1766,September 13,Wasted Days and Wasted Nights,Freddy Fender,8,September 27,3,3xPer22ZLDCRQtb6Z03ykt
1767,1767,September 20,Feel Like Makin' Love,Bad Company,10,September 20,2,3KPwt1LBpt1jVSHz8GXERo
1768,1768,September 27,The Ballroom Blitz,Sweet,5,October 18,5,3Pu3IChaAoa5EjgUBv5F6x
1769,1769,October 4,Bad Blood,Neil Sedaka,1,October 11,5,5ABrBYbzepxzcW9pLIWw1j
1770,1770,October 4,Mr. Jaws,Dickie Goodman,4,October 11,2,4f5khGfquhi5YDNd4bRusS
1771,1771,October 4,Dance with Me,Orleans,6,October 18,3,3D0fUBloGwPcLGLyheGWXu
1772,1772,October 4,Ain't No Way to Treat a Lady,Helen Reddy,8,October 11,3,5PMPnjAN4cC2ZtBbx5N6qy
1773,1773,October 4,Rocky,Austin Roberts,9,October 11,2,3MOS4dRmZAIOpz3Vm817TO
1774,1774,October 11,Lyin' Eyes,Eagles,2,November 8,6,5lQKRR3MdJLtAwNBiT8Cq0
1775,1775,October 11,Miracles,Jefferson Starship,3,October 18,6,5dFvprlP5JS7gxeaMhMOWS
1776,1776,October 18,Who Loves You,The Four Seasons,3,November 15,7,1hQFF33xi8ruavZNyovtUN
1777,1777,October 18,They Just Can't Stop It (Games People Play),The Spinners,5,October 25,4,3sGOzhLEKanogNnnNJQiDv
1778,1778,October 18,Feelings,Morris Albert,6,October 25,6,1ib9HiMItjzAwAZFzlaK20
1779,1779,October 25,Island Girl,Elton John,1,November 1,7,2u3UJ9KyduTnbi9yUVGYfW
1780,1780,October 25,It Only Takes a Minute,Tavares,10,October 25,1,7qQzkUWsbvoTDbNpW3FHQu
1781,1781,November 1,Heat Wave,Linda Ronstadt,5,November 15,3,5h0mTdRqybDPdckix8WoYO
1782,1782,November 1,This Will Be,Natalie Cole,6,November 22,5,0PDCewmZCp0P5s00bptcdd
1783,1783,November 8,The Way I Want to Touch You,Captain & Tennille,4,November 29,5,7KdcZQ3GJeGdserhK61kfv
1784,1784,November 15,That's the Way (I Like It),KC and the Sunshine Band,1,November 22,9,1qiQduM84A0VeH8Y2uAbqi
1785,1785,November 15,Low Rider,War,7,November 29,4,7Bz8yww6UMbTgTVLG6zbI4
1786,1786,November 22,"Fly, Robin, Fly",Silver Convention,1,November 29,7,4Wr14AISsCuBGdkA6rids4
1787,1787,November 22,Let's Do It Again,The Staple Singers,1,December 27,7,1YQIOrrOg1UDqZCGcZWQ0a
1788,1788,November 22,Sky High,Jigsaw,3,December 6,5,3qCh6Vgu0O88nIeJXejoPb
1789,1789,November 29,Nights on Broadway,Bee Gees,7,December 13,4,4JjcCdm0RSPuvQWnZyrNkm
1790,1790,December 6,My Little Town,Simon & Garfunkel,9,December 13,2,3obrfotpr4kLCKiOu2GZ4Q
1791,1791,December 6,Saturday Night,Bay City Rollers,1,January 3,6,78zYiMv9yNTHgmm6kaUPCm
1792,1792,December 13,Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,1,January 24,7,10VbGCpgC4FtmYSwBLvIDX
1793,1793,December 13,Love Rollercoaster,Ohio Players,1,January 31,10,1hRDHWWealh2Pk3fnpIe75
1794,1794,December 13,Fox on the Run,Sweet,5,January 17,6,66gG8RzSA2sVQwME8e43wX
1795,1795,December 20,I Write the Songs,Barry Manilow,1,January 17,10,12FZTFRyd4RBzvKf8RB0zO
1796,1796,December 27,Convoy,C. W. McCall,1,January 10,7,6dGWq08LXuIw6T2oUeHECh
1797,1797,December 27,I Love Music,The O'Jays,5,January 24,6,222TScMmzaZ0IdkvbLoin2
1798,1798,January 10,Love to Love You Baby,Donna Summer,2,February 7,7,6Szw3sQC5Zssr15AJsUY9J
1799,1799,January 10,Times of Your Life,Paul Anka,7,February 7,5,3AdX0KdVoMBqe82b19rWAU
1800,1800,January 17,You Sexy Thing,Hot Chocolate,3,February 7,8,714hERk9U1W8FMYkoC83CO
1801,1801,January 17,Walk Away from Love,David Ruffin,9,January 24,3,5cAGsX0EzCqKuQr7nui6T7
1802,1802,January 24,Sing a Song,"Earth, Wind & Fire",5,February 7,4,5W5FVsgGCe3T9nIMkiXqNo
1803,1803,January 31,50 Ways to Leave Your Lover,Paul Simon,1,February 7,6,6Qb7gtV6Q4MnUjSbkFcopl
1804,1804,February 7,Theme from S.W.A.T.,Rhythm Heritage,1,February 28,6,5x9xxVr7nJ9xMfDIW02Nv3
1805,1805,February 7,Breaking Up Is Hard to Do,Neil Sedaka,8,February 21,3,2x6pbpjVGjiWCcH89IK8AX
1806,1806,February 14,Love Machine,The Miracles,1,March 6,6,0c34ovpXiMWWUbKX0IavIH
1807,1807,February 14,Evil Woman,Electric Light Orchestra,10,February 14,2,777NOXupZkFdg8zlPMoVqc
1808,1808,February 21,All by Myself,Eric Carmen,2,March 6,6,0AQqrtK1pULuwZUXhwaaDz
1809,1809,February 21,Take It to the Limit,Eagles,4,March 13,5,2cWHN0WK52RGAWHgaDamUA
1810,1810,February 28,"December, 1963 (Oh, What a Night)",The Four Seasons,1,March 13,6,1hQFF33xi8ruavZNyovtUN
1811,1811,February 28,Dream Weaver,Gary Wright,2,March 27,8,74DrA5fFoGSy4xgkZarZtP
1812,1812,February 28,Lonely Night,Captain & Tennille,3,March 27,8,0qgsctXeEVnUwgGESn3vW4
1813,1813,February 28,Love Hurts,Nazareth,8,March 13,3,1i5oEx2vFczQ2sCY3c6Kn5
1814,1814,March 13,Sweet Thing,Rufus featuring Chaka Khan,5,April 3,4,0bqZnsPz4klg5TuWGcKb34
1815,1815,March 13,Junk Food Junkie,Larry Groce,9,March 20,2,00HnYt4dGTSZJIxywDcs7P
1816,1816,March 20,Disco Lady,Johnnie Taylor,1,April 3,8,1tMyqN7bNCokdg7jWgKPc8
1817,1817,March 20,Dream On,Aerosmith,6,April 10,4,1xsYj84j7hUDDnTTerGWlH
1818,1818,March 27,Let Your Love Flow,The Bellamy Brothers,1,May 1,7,064SVQsmWl5EF0zahmzkQk
1819,1819,March 27,Right Back Where We Started From,Maxine Nightingale,2,May 1,8,6208B8Utmd2fTqgGMjeNr6
1820,1820,March 27,Money Honey,Bay City Rollers,9,April 3,2,5GFmGSbxmx1Ib9ZRbCQXW1
1821,1821,April 3,Golden Years,David Bowie,10,April 3,2,4JRem7xHp2l0kmUvt9zCKu
1822,1822,April 10,Boogie Fever,The Sylvers,1,May 15,7,00rC38CxKlB12JUrFlTtdo
1823,1823,April 10,Sweet Love,Commodores,5,April 24,4,3W7sJgfcVgR3ifmFxid141
1824,1824,April 10,Only Sixteen,Dr. Hook,6,April 17,3,41hirbtJ1ShR5wGZcrnu4p
